job_id,product_type,machine_options,processing_time,priority,due_time
J001,Paracetamol_500mg,M1;M2;M4,45,Normal,11:30
J002,Ibuprofen_400mg,M1;M3,60,Rush,10:00
J003,Amoxicillin_250mg,M2;M3,50,Normal,12:00
J004,Aspirin_75mg,M1;M2;M3;M4,40,Normal,13:00
J005,Metformin_500mg,M3;M4,55,Rush,11:00
J006,Paracetamol_500mg,M1;M4,45,Normal,14:00
J007,Ibuprofen_400mg,M2;M3,60,Normal,15:00
J008,Amoxicillin_250mg,M1;M2;M3,50,Normal,12:30
J009,Aspirin_75mg,M2;M4,40,Rush,10:30
J010,Metformin_500mg,M3;M4,55,Normal,13:30
J011,Paracetamol_500mg,M1;M2,50,Normal,14:30
J012,Ibuprofen_400mg,M1;M3;M4,65,Rush,11:15
J013,Amoxicillin_250mg,M2;M3,48,Normal,13:00
J014,Aspirin_75mg,M1;M2;M4,42,Normal,15:30
J015,Metformin_500mg,M3;M4,58,Normal,14:15
J016,Paracetamol_500mg,M1;M2;M3;M4,47,Rush,10:45
J017,Ibuprofen_400mg,M2;M3,62,Normal,12:45
J018,Amoxicillin_250mg,M1;M3,52,Normal,15:00
J019,Aspirin_75mg,M1;M2;M3,38,Rush,09:30
J020,Metformin_500mg,M3;M4,60,Normal,13:45
